Title,Price,GPU_Category,VRAM,Description,Link
Asus DUAL RTX2060 OC 6 GB EVO,140.00,2060,6 gb,"Lisätiedot
			Suoraan käytöstä, ensimmäiseltä omistajalta,
virheettömästi ja ongelmitta palvellut
pelinäytönohjain FullHD pelaamiseen. Ei ole
louhittu, jäähyä ei ole irrotettu, eikä muutenkaan
räpelletty. Pölyjä puhalleltu pois tasaisin
väliajoin paineilmalla.Mieluiten nouto tai kuljetus pk-seudulla (+10
euron lisähintaan), postitus onnistuu
huolellisesti pakattuna, mutta koska ei ole
originaalipakkauksia, niin postitettaessa en
vastaa kuljetuksessa rikkoutuneesta komponentista.Alla speksit verkkokauppa.comin sivuilta, josta
tämä alunperin ostettukin:Piiri: GeForce RTX 2060CUDA-ydinten määrä: 1920Kellotaajuus OC mode : 1785 MHz (Boost)/ 1395 MHz
(Base)Kellotaajuus Gaming mode : 1755 MHz (Boost)/ 1365
MHz (Base)Muisti: 6144 Mt, 192-bit GDDR6Muistin kellotaajuus: 14000 MHzVäylä: PCI-Express 3.02 x HDMI 2.0b, 1 x Display Port 1.4, 1x Dual-Link
DVI-DMaksimiresoluutio: 7680 x 4320Näyttöjen maksimimäärä: 4NVLink/SLI-tuki: EiNVIDIA PhysX, CUDAAdaptive V-Sync -tukiG-SYNC -tukiOpenGL 4.5Mitat: 24,2 x 13 x 5,3 cmVirtaliittimet: 1 x 8-pinVirtalähdesuositus: 500 W",https://www.tori.fi/uusimaa/Asus_DUAL_RTX2060_OC_6_GB_EVO_118724349.htm?ca=18&w=1
Asus dual geforce rtx 3060t1 8gb,240.00,3060,8gb,"Lisätiedot
			Moro.Myyntiin Asus dual geforce rtx 3060ti mini 8gb.Pari vuotta vanha mutta toimii niinkuin sen
täytyykin.Tehokkaamman tieltä pois.Hinta 240/tarjoaTilisiirto, pivo, osuuspankkiKouvola",https://www.tori.fi/uusimaa/Asus_dual_geforce_rtx_3060t1_8gb_118722911.htm?ca=18&w=1
Asus Poseidon 980ti 6gb,100.00,980,6gb,"Lisätiedot
			Siitä tähän hintaan tehokas näytönohjain, ei pidä
ylimääräisiä ääniä yms, mutta on vaan vähän
pölyinen, ollut pelikäytössä viimeksi noin viikko
sitten ja menee myyntiin uuden näytönohjaimen
takia. Pölyt putsaan ennen myymistä.Haku Porvoosta, en postita. Maksu käteinen tai
mobilepay.",https://www.tori.fi/uusimaa/Asus_Poseidon_980ti_6gb_118722635.htm?ca=18&w=1
MSI GTX 1080 armor,140.00,1080,Unknown,"Lisätiedot
			Vanha kunnon näyttis ja pelittää hyvin. Hieman
pölyinen on, puhdistus jää ostajalle. Tuulettimet
ei äännä ja kaikki toimii kuten pitääkin. Ei
pakettia tallessa. Käytettynä hankittu. Hinta on
hyvä sellaisenaan. Nouto Espoonlahdesta tai
mahdollisesti Lohjalta viikonloppuisin. Postitus
myös onnistuu, maksu etukäteen ja ostaja maksaa
postikulut. Käteinen tai mobilepay. Suunnilleen
yhtä tehokas kuin RTX 3060.Hakusanoja : näytönohjain, nvidia geforce, kortti",https://www.tori.fi/uusimaa/MSI_GTX_1080_armor_118722215.htm?ca=18&w=1
3090ti,950.00,3090,Unknown,"Lisätiedot
			erinomaisessa kunnossa oleva 3090ti suprim xostettu jimsiltä: 2.8.2022 eli vielä 2 vuotta
löytyy takuuta.nouto vain karkkilasta. Hinta on tiukka.",https://www.tori.fi/uusimaa/3090ti_118719047.htm?ca=18&w=1
MSI Nvidia Geforce GTX 1050 Ti 4GB Low profile,60.00,1050,4gb,"Lisätiedot
			MSI Nvidia Geforce GTX 1050 Ti 4GB LPKortti on uudenveroinen.Nouto tai postitus +7e (maksu Mobilepay, Pivo,
S-Pankki)",https://www.tori.fi/uusimaa/MSI_Nvidia_Geforce_GTX_1050_Ti_4GB_Low_profile_118710121.htm?ca=18&w=1
Asus 2060 Dual OC - Vaihto,140.00,2060,Unknown,"Lisätiedot
			Asus 2060 Dual OC.Normaali käytössä, muutama päivä viikossa. Olisiko
2v-3v ikää.   Vaihdetaan 2060+rahaa. -->Tehokkaampaan Nvidia tai AMD korttiin.Nvidia alkaen RTX 3060AMD alkaen RX 6750",https://www.tori.fi/uusimaa/Asus_2060_Dual_OC___Vaihto_118708405.htm?ca=18&w=1
MSI Radeon Rx5700 XT gaming x,185.00,5700,Unknown,"Lisätiedot
			Myynnissä tehokas näytönohjain ostettu 19.06.2020
verkkokaupasta kuitti löytyy. Uuden tieltä pois,
alkuvuodesta asti ollut käyttömättämänä. Sopii
hyvinn full hd ja uhd pelaamiseen.",https://www.tori.fi/uusimaa/MSI_Radeon_Rx5700_XT_gaming_x_118703661.htm?ca=18&w=1
Title not found,Price not found,Unknown,Unknown,Description not found,https://www.tori.fi/koko_suomi?splan=gigantti
Title not found,Price not found,Unknown,Unknown,Description not found,https://autot.tori.fi
Title not found,Price not found,Unknown,Unknown,Description not found,https://autot.tori.fi/vaihtoautot?korimalli=avolava
Title not found,Price not found,Unknown,Unknown,Description not found,https://autot.tori.fi/vaihtoautot?korimalli=farmari%2Ctila-auto
Title not found,Price not found,Unknown,Unknown,Description not found,https://autot.tori.fi/vaihtoautot?korimalli=avoauto&hinta-max=8000
Asus RTX 3070 TI OC TUF Gaming,420.00,1080,Unknown,"Lisätiedot
			Asus GeForce RTX 3070 Ti TUF Gaming. Uudempi LHR
malli.Kortti on noin vuoden vanha, ollut muutaman kerran
käytössä, joten kunnoltaan uutta vastaava.
Muovitkin vielä tuulettimien päällä.Tämä on hiljainen, energiatehokas ja tehoiltaan
täydellinen valinta niin 1080p kuin myös 1440p
pelailuun.Pituus: 299mmLeveys: 126mmkorkeus: 51mmKaupat kasvotusten Helsingissä.",https://www.tori.fi/uusimaa/Asus_RTX_3070_TI_OC_TUF_Gaming_115650993.htm?ca=18&w=1
Asus GTX 1070Ti 8GB Cerberus,130.00,1070,8gb,"Lisätiedot
			Hyväkuntoinen näytönohjain tarpeettomana. Mukana
ESD-pussi. Avaamaton kortti, ei mainailtu. Suoraan
pelikäytössä. Espoosta nouto.",https://www.tori.fi/uusimaa/Asus_GTX_1070Ti_8GB_Cerberus__118838611.htm?ca=18&w=1
(VARATTU 2.10. ASTI) Sapphire Pulse 5700 XT,150.00,5700,Unknown,"Lisätiedot
			Ollut pelikäytössä. Mukaan alkuperäinen pakkaus.
Ostettu Jimssiltä 2020.Nouto Käpylästä tai postitus.",https://www.tori.fi/uusimaa/_VARATTU_2_10__ASTI__Sapphire_Pulse_5700_XT_118820927.htm?ca=18&w=1
Asus Poseidon 980ti 6gb,100.00,980,6gb,"Lisätiedot
			Siitä tähän hintaan tehokas näytönohjain, ei pidä
ylimääräisiä ääniä yms, mutta on vaan vähän
pölyinen, ollut pelikäytössä viimeksi noin viikko
sitten ja menee myyntiin uuden näytönohjaimen
takia. Pölyt putsaan ennen myymistä.Haku Porvoosta, en postita. Maksu käteinen tai
mobilepay.",https://www.tori.fi/uusimaa/Asus_Poseidon_980ti_6gb_118722635.htm?ca=18&w=1
MSI GTX 1080 armor,140.00,1080,Unknown,"Lisätiedot
			Vanha kunnon näyttis ja pelittää hyvin. Hieman
pölyinen on, puhdistus jää ostajalle. Tuulettimet
ei äännä ja kaikki toimii kuten pitääkin. Ei
pakettia tallessa. Käytettynä hankittu. Hinta on
hyvä sellaisenaan. Nouto Espoonlahdesta tai
mahdollisesti Lohjalta viikonloppuisin. Postitus
myös onnistuu, maksu etukäteen ja ostaja maksaa
postikulut. Käteinen tai mobilepay. Suunnilleen
yhtä tehokas kuin RTX 3060.Hakusanoja : näytönohjain, nvidia geforce, kortti",https://www.tori.fi/uusimaa/MSI_GTX_1080_armor_118722215.htm?ca=18&w=1
GTG-1070 8Gb näytönohjain,110.00,1070,8gb,"Lisätiedot
			Näyttis GTG-1070 8Gb pituus 243\255 kork 130 lev 2 korttipaikkaa 8-pin
virtaliitin2xhdmi, 2xDP, 1xDVINouto/postitus",https://www.tori.fi/uusimaa/GTG_1070_8Gb_naytonohjain_118681729.htm?ca=18&w=1
Rtx 2060,140.00,2060,6gb,"Lisätiedot
			KFA2 Geforce RTX 2060 6GBKuvan mukainen toimiva grafiikkakortti.Postitse +6,80",https://www.tori.fi/uusimaa/Rtx_2060_118679622.htm?ca=18&w=1
Asus rtx 2080ti,325.00,2080,Unknown,"Lisätiedot
			ASUS RTX 2080TI strixin kortti ,pari ohjainta nyt
itsellä muutenkin nii voisijn tästä luopua  325 HP
kortti priimakuntoinen ja tahnat vaihdettu",https://www.tori.fi/uusimaa/Asus_rtx_2080ti_118878498.htm?ca=18&w=1
MSI RTX 3060 Ti Ventus 2X LHR,260.00,3060,Unknown,"Lisätiedot
			MSI GeForce RTX 3060Ti Ventus 2X, LHR. Toimii
täydellisesti.Sopii hyvin pienempäänkin ITX koteloon, koska
kortti on alle 2 slottia korkea:Pituus: 232 mmLeveys: 124 mmKorkeus: 52 mmKortti on Helsingissä. Voin myös postittaa,
jolloin ostaja maksaa postimaksut 6,90 eur.Voin lähettää postiennakollakin, mutta tällöin
ostaja maksaa postimaksut 6,90 eur ja
postiennakkolisän 9,90 eur etukäteen.",https://www.tori.fi/uusimaa/MSI_RTX_3060_Ti_Ventus_2X_LHR_118877698.htm?ca=18&w=1
Manli Geforce Rtx 3060 Ti,270.00,3060,Unknown,"Lisätiedot
			Pituus 265 mm. 2x8 lisävirrat.",https://www.tori.fi/uusimaa/Manli_Geforce_Rtx_3060_Ti_118875026.htm?ca=18&w=1
Asus strix rtx 3080 white edit VARATTU,60.00,3080,Unknown,"Lisätiedot
			ASUS STRIX RTX 3080 WHITE EDITviallinen ohjain siisti kaikinpuolin mutta ei anna
kuvaasarjanumerotarra kulunut nii ei saa  takuuseen
tätä yksilöäOHJAIN VARATTU NYT",https://www.tori.fi/uusimaa/Asus_strix_rtx_3080_white_edit_VARATTU_118871906.htm?ca=18&w=1
Asus strix rtx 3080 white edit,580.00,3080,Unknown,"Lisätiedot
			ASUS STRIX RTX 3080 WHITE EDIT vähän reippaampi erä tavaraa tarjolla ,erinomainen
kunto ohjaimellatakuuta ensvuoden puolelle kuitti mukaan ja
pakkaus  AK620WH huippujäähy  CORSAIR RMX850  CORSAIR RM 750  CORSAIR AX 850 PSU  jonsbo d31 koppa valkonen   4xlian li tuuletinta   streameri   lian li hubi tarjousten mukaan myynnit tavarat priimakuntoisia vaihtaria voi myös tarjota RTX4080-4090 katsotaan tapauskohtaisesti välirahat",https://www.tori.fi/uusimaa/Asus_strix_rtx_3080_white_edit_118905873.htm?ca=18&w=1
Asus RTX 3080TI O12G TUF GAMING -näytönohjain,780.00,3080,19 gb,"Lisätiedot
			Asus RTX3080TI-O12G-TUF-GAMING -näytönohjainPiiri: GeForce RTX 3080 TiCUDA-ydinten määrä: 10240Kellotaajuus OC Mode: 1785 MHz (Boost)Kellotaajuus Gaming Mode: 1755 MHz (Boost)Muisti: 12 Gt, 384-bit GDDR6XMuistin kellotaajuus: 19 GbpsVäylä: PCI-Express 4.0 x162x HDMI 2.1, 3x Display Port 1.4aMaksimiresoluutio: 7680 x 4320Näyttöjen maksimimäärä: 4NVIDIA PhysX, CUDAAdaptive V-Sync -tukiG-SYNC -tukiOpenGL 4.6Mitat: 300 x 127 x 52 mmPaino: 1,4 kgVirtaliittimet: 2 x 8-pinVirtalähdesuositus: 850 WErittäin vähän käytetty. Nouto Helsingin
keskustasta tai Ruoholahdesta.",https://www.tori.fi/uusimaa/Asus_RTX_3080TI_O12G_TUF_GAMING__naytonohjain_118905189.htm?ca=18&w=1
Gtx 1650,60.00,1650,Unknown,"Lisätiedot
			Kuvissa infot, haku Hyvinkäältä",https://www.tori.fi/uusimaa/Gtx_1650_118902901.htm?ca=18&w=1
